Date,Open,High,Low,Close,Adj Close,Volume,normolize,diff,order,label,data
2002/12/25,34.477001,34.6315,33.937302,34.477001,20.278627,15449959805,-1.003965909,1.003201,736,-1,1.003201
2002/12/26,34.708401,35.480202,34.245602,35.480202,20.868687,23857676650,-0.984086086,-0.385903,737,1,-0.385903
2002/12/27,35.557098,35.557098,34.785999,35.094299,20.641712,27456572912,-0.991733291,-1.774299,738,1,-1.774299
2002/12/30,34.708401,34.708401,33.243198,33.32,19.598103,47293727845,-1.026893494,-0.4627,739,1,-0.4627
2002/12/31,32.780399,33.32,32.780399,32.8573,19.325953,28136117485,-1.036062539,-0.076901,740,1,-0.076901
2003/1/2,33.166302,33.474602,32.703499,32.780399,19.280724,29925256697,-1.037586439,1.774201,741,1,1.774201
2003/1/3,33.937302,34.708401,33.629101,34.5546,20.324266,52579680536,-1.002428177,0,742,1,0
2003/1/6,34.5546,35.248798,34.245602,34.5546,20.324266,49129151006,-1.002428177,0.462799,743,1,0.462799
2003/1/7,35.248798,36.174301,35.017399,35.017399,20.596478,61698511243,-0.993257171,0.8479,744,-1,0.8479
2003/1/8,35.094299,36.559502,35.017399,35.865299,21.095192,67404812442,-0.976454853,-0.385097,745,-1,-0.385097
2003/1/9,35.480202,35.788399,35.094299,35.480202,20.868687,48948024610,-0.984086086,0.925499,746,-1,0.925499
2003/1/10,36.405701,36.482601,36.174301,36.405701,21.413046,57046931096,-0.965746035,2.545299,747,-1,2.545299
2003/1/13,37.022301,38.951,37.022301,38.951,22.910139,1.37E+11,-0.915307393,0,748,-1,0
2003/1/14,39.336201,39.336201,38.565102,38.951,22.910139,96393049133,-0.915307393,0,749,-1,0
2003/1/15,38.951,39.336201,38.256901,38.951,22.910139,86943418590,-0.915307393,-1.4659,750,-1,-1.4659
2003/1/16,38.951,38.951,37.4851,37.4851,22.047928,59139101937,-0.944356242,0.154499,751,-1,0.154499
2003/1/17,37.022301,37.9478,36.6371,37.639599,22.138798,78192749263,-0.941294629,-0.694199,752,-1,-0.694199
2003/1/20,36.714001,37.022301,36.251202,36.9454,21.730482,63110707353,-0.955051148,-0.231399,753,-1,-0.231399
2003/1/21,36.9454,37.408199,36.6371,36.714001,21.594379,55275858532,-0.959636642,0.154499,754,-1,0.154499
2003/1/22,36.714001,37.022301,36.174301,36.8685,21.685253,39410882559,-0.956575029,2.0825,755,-1,2.0825
2003/1/23,37.639599,39.336201,37.639599,38.951,22.910139,99996476935,-0.915307393,-0.848701,756,-1,-0.848701
2003/1/24,39.336201,39.722099,37.870899,38.102299,22.41095,76299776876,-0.932125585,-0.385899,757,-1,-0.385899
2003/1/27,37.562698,37.7164,37.099899,37.7164,22.183969,51491856235,-0.93977271,-0.925499,758,-1,-0.925499
2003/1/28,35.6339,37.331299,35.480202,36.790901,21.639616,74556358891,-0.958112761,-2.545299,759,-1,-2.545299
2003/2/6,34.3232,34.708401,34.245602,34.245602,20.142527,78312311622,-1.008551403,-1.851101,760,1,-1.851101
2003/2/7,31.854799,32.934898,31.854799,32.394501,19.053745,1.56E+11,-1.045233545,-1.002501,761,1,-1.002501
2003/2/10,31.854799,31.854799,31.2376,31.392,18.464098,86410422721,-1.065099497,0.6173,762,1,0.6173
2003/2/11,31.854799,32.394501,31.778,32.0093,18.827177,58846756630,-1.052866839,-0.8486,763,1,-0.8486
2003/2/12,31.5466,31.778,30.9293,31.1607,18.328053,72050159352,-1.069683028,-0.154499,764,1,-0.154499
2003/2/13,31.1607,31.7003,31.006201,31.006201,18.237177,58453278135,-1.072744641,0.617199,765,1,0.617199
2003/2/14,31.7003,31.854799,31.315201,31.6234,18.600197,71910982858,-1.060513984,2.159399,766,1,2.159399
2003/2/17,33.782799,33.782799,33.011799,33.782799,19.870314,77185978686,-1.017722488,-0.6941,767,1,-0.6941
2003/2/18,33.782799,33.782799,33.011799,33.088699,19.462057,42626997469,-1.031477045,0.077603,768,1,0.077603
2003/2/19,33.8605,33.8605,33.166302,33.166302,19.507702,69164814517,-1.029939234,0.847896,769,1,0.847896
2003/2/20,33.166302,34.091801,33.011799,34.014198,20.006413,71036370973,-1.013136995,0.617302,770,1,0.617302
2003/2/21,34.708401,35.4025,34.477001,34.6315,20.369503,93056492609,-1.000904297,0.3083,771,1,0.3083
2003/2/24,34.8629,35.094299,34.3232,34.9398,20.550837,48756655578,-0.994794903,-1.773498,772,1,-1.773498
2003/2/25,34.708401,34.708401,33.166302,33.166302,19.507702,63858225051,-1.029939234,-0.154503,773,1,-0.154503
2003/2/26,33.32,33.706001,32.934898,33.011799,19.416828,48616791912,-1.033000926,-0.617298,774,1,-0.617298
2003/2/27,32.472099,33.011799,32.0093,32.394501,19.053745,45889285407,-1.045233545,1.542801,775,1,1.542801
2003/3/3,33.088699,34.168701,32.8573,33.937302,19.961187,48204976230,-1.014660796,-0.4627,776,1,-0.4627
2003/3/4,33.32,33.474602,33.011799,33.474602,19.689037,32170166192,-1.02382984,-1.388401,777,1,-1.388401
2003/3/5,32.394501,32.6259,32.0093,32.086201,18.872412,60949857278,-1.051342938,-0.154501,778,1,-0.154501
2003/3/6,32.086201,32.3176,31.854799,31.9317,18.781536,38581026073,-1.054404591,0.154501,779,1,0.154501
2003/3/7,31.778,32.8573,31.6234,32.086201,18.872412,48518299193,-1.051342938,0.771099,780,1,0.771099
2003/3/10,32.6259,33.088699,32.394501,32.8573,19.325953,53968361325,-1.036062539,-0.076901,781,1,-0.076901
2003/3/11,32.394501,33.397701,32.394501,32.780399,19.280724,46218478234,-1.037586439,0.385903,782,1,0.385903
2003/3/12,32.8573,33.166302,32.780399,33.166302,19.507702,32006600535,-1.029939234,0.847896,783,1,0.847896
2003/3/13,33.166302,34.245602,33.011799,34.014198,20.006413,68480954834,-1.013136995,1.080101,784,1,1.080101
2003/3/14,36.096699,36.096699,34.9398,35.094299,20.641712,1.51E+11,-0.991733291,-1.156997,785,1,-1.156997
2003/3/17,34.708401,34.8629,33.937302,33.937302,19.961187,60341056157,-1.014660796,2.3139,786,1,2.3139
2003/3/18,35.788399,36.251202,35.480202,36.251202,21.322174,1.41E+11,-0.968807648,0.694198,787,1,0.694198
2003/3/19,36.559502,37.1768,36.251202,36.9454,21.730482,1.25E+11,-0.955051148,0.5397,788,1,0.5397
2003/3/20,37.794102,38.333698,37.022301,37.4851,22.047928,1.44E+11,-0.944356242,-0.076901,789,1,-0.076901
2003/3/21,37.639599,37.639599,36.9454,37.408199,22.002695,55634502323,-0.945880142,0,790,1,0
2003/3/24,37.7164,37.794102,37.2537,37.408199,22.002695,56761425035,-0.945880142,-1.465198,791,1,-1.465198
2003/3/25,36.251202,36.482601,35.711601,35.943001,21.140898,65069085441,-0.974915079,0.308201,792,1,0.308201
2003/3/26,36.405701,36.714001,36.251202,36.251202,21.322174,66753801701,-0.968807648,-1.619702,793,1,-1.619702
2003/3/27,34.708401,35.1712,33.937302,34.6315,20.369503,1.52E+11,-1.000904297,-0.385898,794,1,-0.385898
2003/3/28,34.477001,34.708401,33.551399,34.245602,20.142527,83406029552,-1.008551403,-1.619702,795,1,-1.619702
2003/3/31,33.551399,33.782799,32.472099,32.6259,19.189848,77543729695,-1.040648052,-0.0769,796,1,-0.0769
2003/4/1,32.0093,32.549,31.9317,32.549,19.144621,85137900899,-1.042171932,0.462799,797,1,0.462799
2003/4/2,32.780399,33.32,32.394501,33.011799,19.416828,45530803940,-1.033000926,0.848701,798,1,0.848701
2003/4/3,34.3232,34.5546,33.706001,33.8605,19.916016,83089638668,-1.016182735,1.0024,799,1,1.0024
2003/4/4,33.8605,35.017399,33.629101,34.8629,20.505604,75165154601,-0.996318784,0.771,800,1,0.771
2003/4/7,34.9398,35.865299,34.6315,35.6339,20.959089,79856114522,-0.981040346,-0.385102,801,1,-0.385102
2003/4/8,35.480202,35.865299,35.1712,35.248798,20.73258,63372221944,-0.988671678,-0.694198,802,1,-0.694198
2003/4/9,34.785999,34.9398,34.400101,34.5546,20.324266,48875779662,-1.002428177,-0.2314,803,1,-0.2314
